9029,952715,<-- Do not delete or edit
PID,[E]Stock type,[E]Bin number,[E]Pos,Tertiary Category,Brand & Description,Pack Size,[E]Close FC,[E]Close SC
"6916148","","6916148","0","Whisky","Talisker Isle of Skye 25yrs","1 x 70cl [1]","","",
"6916145","","6916145","0","Whisky","Craigellachie 23 Years Old","1 x 70cl [1]","","",
"6916142","","6916142","0","Cognac/Brandy","Frapin XO VIP","1 x 70cl [1]","","",
"6916141","","6916141","0","Cognac/Brandy","Frapin MultimilleÇsime No 7 1989-1991-1993","1 x 70cl [1]","","",
"6916139","","6916139","0","Cognac/Brandy","Courvoisier L`Essence","1 x 70cl [1]","","",
"6916138","","6916138","0","Cognac/Brandy","Maxime Trijol Ancestrale GC Cognac","1 x 75cl [1]","","",
"6916137","","6916137","0","Cognac/Brandy","Hennessy Paradis Rare Cognac","1 x 70cl [1]","","",
"6916126","","6916126","0","Cognac/Brandy","Dupont 1980","1 x 70cl [1]","","",
"6916125","","6916125","0","Cognac/Brandy","Domaine dAurensan, 30 ans","1 x 70cl [1]","","",
"6916123","","6916123","0","Cognac/Brandy","Domaine dAurensan 1973","1 x 50cl [1]","","",
"6916121","","6916121","0","Cognac/Brandy","Domaine dAurensan 1977","1 x 50cl [1]","","",
"6916120","","6916120","0","Cognac/Brandy","Distillato di Pesche Saturno, Capovilla 2015","1 x 50cl [1]","","",
"6916119","","6916119","0","Cognac/Brandy","Distillato di Bacche di Sambuco, Capovilla 2016","1 x 50cl [1]","","",
"6916117","","6916117","0","Cognac/Brandy","Darroze Chateau de Gaube 1964","1 x 70cl [1]","","",
"6916115","","6916115","0","Cognac/Brandy","Baron de Sigognac Bas-Armagnac 1959","1 x 70cl [1]","","",
"6916114","","6916114","0","Cognac/Brandy","Baron de Sigognac Bas-Armagnac 1952","1 x 70cl [1]","","",
"6916111","","6916111","0","Cognac/Brandy","Baron de Sigognac Bas-Armagnac 1940","1 x 70cl [1]","","",
"6916134","","6916134","0","Digestifs","Lemorton Domfrontais 1985","1 x 70cl [1]","","",
"6916107","","6916107","0","Digestifs","Chartreuse Jaune (Yellow) 1930`s","1 x 70cl [1]","","",
"7007356","","7007356","0","Digestifs","Darroze Domaine de Bouillon 1965","1 x 70cl [1]","","",
"7007355","","7007355","0","Rum","Rhum Blanc Agricole Alambic","1 x 70cl [1]","","",
"7007354","","7007354","0","Vodka","Grey Goose VX","1 x 100cl [1]","","",
"7006157","","7006157","0","Alcoholic Beverages (Spirits, Liquers, etc.)","HIBIKI SUNTORY 21YO 43% 70CL","70 cl [1]","","",
"3249289","","3249289","0","Batch","Sections Mise en place","1 each [1]","","",
"3035198","","3035198","0","Bourbon / American Whiskey","Woodford Bourbon - 43.2% - Reserve","1 x 70 cl [1]","","",
"550813","","550813","0","Bourbon / American Whiskey","Bulleit RYE","1 X 70 cl [1]","","",
"3037841","","3037841","0","Bourbon / American Whiskey","Woodford Reserve Straight Rye - 45.2%","1 x 70 cl [1]","","",
"503590","","503590","0","Bourbon / American Whiskey","Bulleit Bourbon - Whiskey - 45%","1 x 70 cl [1]","","",
"10176666","","10176666","0","Batch","Petrus - Blossom","700 ml [700]","","",
"10176675","","10176675","0","Batch","Petrus - Bramble","700 ml [700]","","",
"10176684","","10176684","0","Batch","Petrus - Winter Spritz","628 ml [628]","","",
"11022932","","11022932","0","Batch","test recipie","1 each [1]","","",
"391567","","391567","0","Brandy","Hennessy Paradis Imperial - Cognac - 40%","1 x 70cl [1]","","",
"210817","","210817","0","Brandy","RÕmy Martin Louis XIII Superior - Cognac","1 x 70cl  [1]","","",
"4981428","","4981428","0","Brandy","Baron de Sigognac Armagnac - 10YO","12 x 70 cl [12]","","",
"841768","","841768","0","Brandy","Courvoisier XO - Cognac - 40%","1 x 70 cl [1]","","",
"1033862","","1033862","0","Brandy","Martell Cordon Bleu - Cognac","1 x 70 cl [1]","","",
"3044712","","3044712","0","Brandy","Baron de Sigognac Armagnac - VSOP","1 x 70 cl [1]","","",
"2239136","","2239136","0","Brandy","Martell VS - Cognac","1 x 70 cl [1]","","",
"212438","","212438","0","Cocktail Mixes","Angostura Angostura Bitters","1 x 20 cl [1]","","",
"5125554","","5125554","0","Cocktail Mixes","Ms Better's Miraculous Foamer - Bitters","1 x 12 cl [1]","","",
"5537588","","5537588","0","Cocktail Mixes","Giffard Agave Syrup","1 x 1 ltr [1]","","",
"674672","","674672","0","Cocktail Mixes","Monin Honey - Syrup","1 x 70 cl [1]","","",
"2091744","","2091744","0","Cocktail Mixes","Monin Syrup - Elderflower","1 x 70 cl [1]","","",
"2160985","","2160985","0","Gin","Hendrick's Gin","1 x 70cl [1]","","",
"2297154","","2297154","0","Gin","Monkey 47 - Dry Gin","1 x 50 cl [1]","","",
"4836504","","4836504","0","Gin","Tanqueray Gin - 0% - Alcohol Free","1 x 70cl [1]","","",
"3045706","","3045706","0","Gin","Oxley Dry Gin - Classic English","1 x 70 cl [1]","","",
"2238598","","2238598","0","Gin","Seedlip Garden 108 - Spiced Gin - Distilled Non Alcoholic","1 x 70 cl [1]","","",
"922753","","922753","0","Gin","Aviation - Gin","1 x 70 cl [1]","","",
"1375686","","1375686","0","Gin","Gin Mare Gin","1 x 70 cl [1]","","",
"362216","","362216","0","Gin","Plymouth Gin - 41.2%","1 x 70cl [1]","","",
"2066595","","2066595","0","Gin","Beefeater Gin","1 x 70 cl [1]","","",
"10792159","","10792159","0","Gin","Tanqueray No.10 - Gin - 47.3% - Gift Set","1 x 70 cl [1]","","",
"303416","","303416","0","Imported Whiskey","Suntory Yamazaki - Whiskey - 40% - 12YO","1 x 70cl [1]","","",
"3080702","","3080702","0","Imported Whiskey","Suntory Yamazaki Japanese - Malt Whiskey - 18YO","6 x 70 cl [6]","","",
"317090","","317090","0","Liqueurs & Other","Baileys Irish Cream - 17.00%","1 x 70 cl [1]","","",
"2069058","","2069058","0","Liqueurs & Other","Chambord Chambord - 16.5% - Raspberry Liqueur","1 x 70 cl [1]","","",
"252556","","252556","0","Liqueurs & Other","Grand Marnier Grand Marnier - 40%","1 x 70cl [1]","","",
"329105","","329105","0","Liqueurs & Other","Kahlua Coffee Liqueur - 20%","1 x 70 cl [1]","","",
"1867341","","1867341","0","Liqueurs & Other","Terra di Limoni - Limoncello - di Amalfi","1 x 50 cl [1]","","",
"8032335","","8032335","0","Liqueurs & Other","Capovilla Distillato di Uva Isabella","1 x 50 cl [1]","","",
"2031954","","2031954","0","Liqueurs & Other","Campari Campari","1 x 70 cl [1]","","",
"3045567","","3045567","0","Liqueurs & Other","Seedlip Grove 42 - Citrus - (Non-alcoholic spirit)","1 x 70 cl [1]","","",
"467106","","467106","0","Liqueurs & Other","Cointreau Cointreau","1 x 70cl [1]","","",
"782914","","782914","0","Liqueurs & Other","Giffard Rhubarb Liqueur","1 x 70cl [1]","","",
"2218290","","2218290","0","Liqueurs & Other","Disaronno Amaretto","1 x 70 cl [1]","","",
"391864","","391864","0","Liqueurs & Other","Averna Amaro - Liqueur","1 x 70 cl [1]","","",
"3037979","","3037979","0","Liqueurs & Other","Chartreuse Chartreuse - Green","1 x 70 cl [1]","","",
"726545","","726545","0","Liqueurs & Other","Chartreuse Chartreuse - Yellow","1 x 70 cl [1]","","",
"2272902","","2272902","0","Liqueurs & Other","Dupont Calvados - VSOP","1 x 70 cl [1]","","",
"2039807","","2039807","0","Liqueurs & Other","St Germain Elderflower Liqueur","1 x 70cl [1]","","",
"3043182","","3043182","0","Liqueurs & Other","Edmond Briottet Liqueur - Cassis - (Blackcurrant)","1 x 70 cl [1]","","",
"1682895","","1682895","0","Liqueurs & Other","Aperol Liqueur","1 x 70cl [1]","","",
"4956101","","4956101","0","Liqueurs & Other","Everleaf Non Alcoholic Spirit - Mountain","1 x 50 cl [1]","","",
"3035112","","3035112","0","Liqueurs & Other","Pernod Pastis","1 x 70 cl [1]","","",
"4211428","","4211428","0","Liqueurs & Other","La Fee Absinthe - Verte - NV","1 x 70 cl [1]","","",
"551831","","551831","0","Liqueurs & Other","Frangelico Frangelico - (Hazelnut)","1 x 70cl [1]","","",
"3037963","","3037963","0","Liqueurs & Other","Luxardo Kirsch - de Cuisine Liqueur","1 x 50 cl [1]","","",
"3001440","","3001440","0","Liqueurs & Other","Pisco - ABA","1 x 50 cl [1]","","",
"1031234","","1031234","0","Martini/Vermouth","Antica Formula","1 x 1 ltr [1]","","",
"2931688","","2931688","0","Martini/Vermouth","Noilly Prat Noilly Prat - Dry","1 x 75cl [1]","","",
"3045421","","3045421","0","Martini/Vermouth","Cocchi Vermouth - Torino Red","1 x 75 cl [1]","","",
"3045766","","3045766","0","Rum","Ron Zacapa Centenario Rum - 23YO - Sistema Solera","1 x 70 cl [1]","","",
"841004","","841004","0","Rum","Bacardi Carta Blanca","1 x 70 cl [1]","","",
"2716521","","2716521","0","Rum","Bacardi Rum - 8YO - Ocho Anos","1 x 70 cl [1]","","",
"3045674","","3045674","0","Rum","Diplomatico Reserva Exclusiva - Rum - 12YO","1 x 70cl [1]","","",
"3044851","","3044851","0","Rum","Santa Teresa Rum - 1796","1 x 70 cl [1]","","",
"2526817","","2526817","0","Sherry","Tio Pepe Dry Sherry","1 x 75 cl [1]","","",
"672857","","672857","0","Tequila","Patron Tequila Silver","1 x 70 cl [1]","","",
"8799694","","8799694","0","Tequila","Codigo Tequila - Reposado - 1530 - 38%","1 x 70 cl [1]","","",
"8815837","","8815837","0","Tequila","Casamigos Mezcal Joven - 40% - Silver - 100% Agave","1 x 70 cl [1]","","",
"3403460","","3403460","0","Tequila","Amores Mezcal - 40% - Verde Momento","1 x 70 cl [1]","","",
"546350","","546350","0","Vodka","Belvedere Vodka","1 x 70cl [1]","","",
"362218","","362218","0","Vodka","Grey Goose Vodka - 40%","1 x 70 cl [1]","","",
"901906","","901906","0","Vodka","Tito's - Vodka","1 x 70 cl [1]","","",
"839242","","839242","0","Vodka","Ketel One - Vodka","1 x 70 cl [1]","","",
"674324","","674324","0","Vodka","Absolut Vanilla Vodka","1 x 70 cl [1]","","",
"443834","","443834","0","Vodka","Konik's Tail - Vodka","1 x 70 cl [1]","","",
"390567","","390567","0","Whisky","Auchentoshan Three Wood Malt - Whisky - 43%","1 x 70 cl [1]","","",
"252574","","252574","0","Whisky","Balvenie Double Wood - Whisky - 12YO - 40%","1 x 70cl [1]","","",
"1034167","","1034167","0","Whisky","Bowmore Darkest Malt - Whisky - 15YO - 43%","70 cl [1]","","",
"674526","","674526","0","Whisky","Dalmore Malt - Whisky - 15YO","1 x 70 cl [1]","","",
"1589987","","1589987","0","Whisky","Hakushu Whisky","1 x 70 cl [1]","","",
"681599","","681599","0","Whisky","Johnnie Walker GOLD RESERVE - Whisky","1 x 70 cl [1]","","",
"1243534","","1243534","0","Whisky","Balvenie Caribbean Cask - 14YO","1 x 70 cl [1]","","",
"717994","","717994","0","Whisky","Balvenie Portwood - Whisky - 21YO - Speyside Malt","1 x 70 cl [1]","","",
"429796","","429796","0","Whisky","Dalmore King Alexander - Whisky","1 x 70 cl [1]","","",
"2091733","","2091733","0","Whisky","Johnnie Walker Black Label - Whisky - 12YO - 40%","1 x 70cl [1]","","",
"1096741","","1096741","0","Whisky","Jameson Irish Whisky","1 x 70cl  [1]","","",
"788299","","788299","0","Whisky","Glenmorangie Malt - Whisky - 10YO","1 x 70cl  [1]","","",
"3046237","","3046237","0","Whisky","Oban Malt Whisky - 14YO","1 x 70 cl [1]","","",
"3046356","","3046356","0","Whisky","Glenmorangie Malt Whisky - 18YO","1 x 70 cl [1]","","",
"3035498","","3035498","0","Whisky","Johnnie Walker Blue Label - Whisky","1 x 70 cl [1]","","",
"3040378","","3040378","0","Whisky","Macallan 'Sherry Oak' - Whisky - 12YO","1 x 70 cl [1]","","",
"8354041","","8354041","0","Beer - Bottle/Can","Curious Brew Lager - NRB","12 x 330 ml [12]","","",
"3154365","","3154365","0","Beer - Bottle/Can","Lucky Saint Lager - 0.5% - Unfiltered","20 x 330 ml [20]","","",
"1472108","","1472108","0","Beer - Bottle/Can","Meantime Meantime IPA","12 x 330 ml [12]","","",
"1948205","","1948205","0","Beer - Bottle/Can","Heineken Beer - NRB","24 x 330 ml [24]","","",
"3088234","","3088234","0","STOCK ITEMS","Lemons (Each) - SI","1 each [1]","","",
"3194472","","3194472","0","STOCK ITEMS","Limes - SI","1 each [1]","","",
"9226041","","9226041","0","Fruit & Vegetable","Orange","1 each [1]","","",
"9225900","","9225900","0","Fruit & Vegetable","Cucumber Each - SI","1 each [1]","","",
"9068802","","9068802","0","Herbs","Mint - SI","1 kg [1]","","",
"10976229","","10976229","0","Herbs","Viola Flowers - Edible - SI","8 g [1]","","",
"8048119","","8048119","0","Squash & Cordial","Paragon Palo Santo","1 x 48.5 cl [1]","","",
"8756119","","8756119","0","Squash & Cordial","Monin Paragnon Vetiver - Cordial","1 x 48.5 cl [1]","","",
"2181417","","2181417","0","Fruit Juice","Eager Tomato Juice","8 x 1 ltr [8]","","",
"1855605","","1855605","0","Fruit Juice","Eager Pineapple Juice","8 x 1 ltr [8]","","",
"1865472","","1865472","0","Fruit Juice","Eager Orange Juice - Smooth","8 x 1 ltr [8]","","",
"1138102","","1138102","0","Fruit Juice","Eager Cranberry Juice","8 x 1 ltr [8]","","",
"1798449","","1798449","0","Fruit Juice","Eager Apple Juice - Cloudy","8 x 1 ltr [8]","","",
"4438932","","4438932","0","Fruit Juice","Alain Milliat Grape Juice - Red - Merlot","12 x 330 ml [12]","","",
"10797091","","10797091","0","Fruit Juice","PRESS Lime Juice","1 x 1 ltr [1]","","",
"204991","","204991","0","Energy","Red Bull Red Bull - Cans","24 x 250 ml [24]","","",
"3726794","","3726794","0","Carbonated Drinks","Fanta Orange - Fanta - Cans","24 x 330ml [24]","","",
"273253","","273253","0","Carbonated Drinks","Coca Cola Coke - Can","24 x 330 ml [24]","","",
"2591320","","2591320","0","Carbonated Drinks","Fanta Orange - Fanta - GB Cans","24 x 330ml [24]","","",
"205240","","205240","0","Carbonated Drinks","Coca Cola Diet Coke - Can","24 x 330 ml [24]","","",
"629289","","629289","0","Carbonated Drinks","Pepsi Diet Pepsi - NRB","24 x 330 ml [24]","","",
"272557","","272557","0","Carbonated Drinks","Pepsi Soft Drink - NRB","24 x 200 ml [24]","","",
"982656","","982656","0","Carbonated Drinks","Pepsi Pepsi Max - NRB","24 x 200 ml [24]","","",
"272558","","272558","0","Carbonated Drinks","Pepsi Diet Pepsi - NRB","24 x 200 ml [24]","","",
"5304232","","5304232","0","Iced Tea","Saicho Jasmine - Sparkling - Cold Brewed Tea","1 x 200 ml [1]","","",
"5304230","","5304230","0","Iced Tea","Saicho Darjeeling - Sparkling - Cold Brewed Tea","1 x 200 ml [1]","","",
"10699074","","10699074","0","Iced Tea","Saicho Sparkling Cold Brewed Tea - Hojicha","1 x 200 ml [1]","","",
"1168797","","1168797","0","Mixers / Juices","Fever Tree Tonic Water - NRB","24 x 200 ml [24]","","",
"272567","","272567","0","Mixers / Juices","Fever Tree Naturally Light - Tonic Water - NRB","24 x 200 ml [24]","","",
"374690","","374690","0","Mixers / Juices","Fever Tree Ginger Ale - NRB","24 x 200 ml [24]","","",
"272566","","272566","0","Mixers / Juices","Fever Tree Lemonade - NRB","24 x 200 ml [24]","","",
"1351209","","1351209","0","Mixers / Juices","Fever Tree Soda Water - NRB","24 x 200 ml [24]","","",
"2158394","","2158394","0","Mixers / Juices","Fever Tree Tonic Water - Elderflower - NRB","24 x 200 ml [24]","","",
"672757","","672757","0","Water - Still","Hildon Still Water","12 x 750 ml [12]","","",
"204892","","204892","0","Water - Sparkling","Hildon Sparkling Water - PET","1 x 12 x 750ml [12]","","",
"2780241","","2780241","0","Water - Sparkling","San Pellegrino Glass Bottle - Sparkling Water","12 x 750 ml [12]","","",
"9372750","","9372750","0","Sparkling Wine","Champagne Palmer, La RÕserve, Magnums","1 x 150 cl [1]","","",
"4504677","","4504677","0","Edible Flowers","Viola - Edible Flowers","1 x 8 g [1]","","",
"8759173","","8759173","0","Coffee - Beans","Beans - Ueshima Kobe Blend","10 x 500 g [10]","","",
"3458866","","3458866","0","Coffee - Beans","Grand Cafe Coffee Beans - Decaffeinated - .","20 x 200 g [20]","","",
"4990851","","4990851","0","Tea - Speciality","Rare Tea Co English Breakfast - RAF","1  x 50 g [1]","","",
"2222948","","2222948","0","Tea - Speciality","Rare Tea - Peppermint - Cornish","1 x 25 g [1]","","",
"4958129","","4958129","0","Tea - Speciality","Rare Tea Co Earl Grey Tea","1 x 50 g [1]","","",
"8311305","","8311305","0","Tea - Speciality","Rare Tea Co English Peppermint","1 x 250 g [1]","","",
"8320033","","8320033","0","Tea - Speciality","Rare Tea Co Silver Tips - Jasmine - Tea","1 x 100 g [1]","","",
"4424191","","4424191","0","Tea - Speciality","Rare Tea Co Emerald Green","1 x 200 g [1]","","",
"8137722","","8137722","0","Tea - Speciality","Rare Tea Co White Peony - China","1 x 200 g [1]","","",
"8323645","","8323645","0","Tea - Speciality","Rare Tea Co Pick Me Up","30 g [1]","","",
"4249076","","4249076","0","Tea - Speciality","Rare Tea Co Tea - RAF for Heroes","1 x 1 kg [1]","","",
